"Veg_Type","Phen_Metric","Drought_Index","Drought_Metric","Slope","Error","Adjusted_R2","F_Statistic","P_Value","significant"
"SH","Cumulative_GCC_yearly","SPEI","Mean_May_Sept_SPEI_12month",0.031267229666613,0.277956380886912,-0.00905716934654355,0.0126539324179507,0.910642041931022,NA
"AG","Cumulative_GCC_yearly","SPEI","Mean_Oct_Feb_SPEI_12month",0.295237921792081,0.320430720078666,-0.000690256823302926,0.84893802725412,0.357871457708909,NA
"DB","Cumulative_GCC_yearly","SPEI","Mean_Oct_Feb_SPEI_12month",0.133419506820703,0.201458866295387,-0.00141969642753748,0.438597236193354,0.508186489811788,NA
"EN","Cumulative_GCC_yearly","SPEI","Mean_Oct_Feb_SPEI_12month",-0.0888260912264289,0.197339375614013,-0.00349423437755481,0.202606606946377,0.653052721574512,NA
"GR","Cumulative_GCC_yearly","SPEI","Mean_Oct_Feb_SPEI_12month",0.274138655016536,0.261899507534511,0.000327455604130611,1.09564835699663,0.29609173551784,NA
"SH","Cumulative_GCC_yearly","SPEI","Mean_Oct_Feb_SPEI_12month",-0.0752019775840683,0.283582133826304,-0.00852364253649407,0.0703235507139678,0.79136713366973,NA
"AG","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_May_Sept_SPEI_12month",0.482190915646711,0.340692365820244,0.00455970269718176,2.0031489516634,0.158399751754709,NA
"DB","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_May_Sept_SPEI_12month",0.366080476308769,0.215315392158935,0.00475180678467102,2.890699726518,0.0898793822284839,NA
"EN","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_May_Sept_SPEI_12month",-0.0591013045814286,0.210392808810778,-0.00403847047393624,0.0789100560111923,0.779034684496156,NA
"GR","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_May_Sept_SPEI_12month",0.141775233626113,0.282819554206901,-0.00257065344018526,0.251293859481722,0.616544499878725,NA
"SH","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_May_Sept_SPEI_12month",-0.187107154422152,0.278935341106114,-0.00502549488760295,0.449959786643876,0.503772953758266,NA
"AG","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_SPEI_12month",0.560509762021858,0.379745586915341,0.00535300397366434,2.17861701178,0.141383107144351,NA
"DB","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_SPEI_12month",0.421386948812129,0.237474526303256,0.00539666975154807,3.14867692136038,0.0767587277975464,NA
"EN","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_SPEI_12month",-0.0618429577527759,0.233198170709137,-0.00407625003056489,0.0703283172259636,0.791098958465855,NA
"GR","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_SPEI_12month",0.320310897729567,0.315571444963767,0.000103629095797531,1.03026283208279,0.310940118564992,NA
"SH","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_SPEI_12month",-0.147176743892787,0.326262967631108,-0.00729381561358,0.203489880452513,0.652814697076355,NA
"AG","SOS_25_difference_from_mean","SPEI","Mean_SPEI_3month",13.2444409547759,7.86810783819251,0.00797761099914807,2.83352243656287,0.0936903942292016,NA
"DB","SOS_25_difference_from_mean","SPEI","Mean_SPEI_3month",-0.193367391501992,1.63087139444924,-0.00245862175278155,0.0140581135507798,0.905677848392369,NA
"EN","SOS_25_difference_from_mean","SPEI","Mean_SPEI_3month",0.515131000635585,3.23149219929722,-0.00420035271740016,0.0254114325832829,0.87348483692356,NA
"GR","SOS_25_difference_from_mean","SPEI","Mean_SPEI_3month",-4.24787686986462,4.40960787202983,-0.000247513882016825,0.927991283490056,0.336188003790657,NA
"SH","SOS_25_difference_from_mean","SPEI","Mean_SPEI_3month",-1.94133340736706,11.2071013846014,-0.00889657488547302,0.0300063834460636,0.862797016689932,NA
"AG","SOS_25_difference_from_mean","SPEI","Mean_May_Sept_SPEI_3month",12.7662499466362,6.07667844784867,0.0147511297926438,4.41361222978613,0.0367566710829711,"yes"
"DB","SOS_25_difference_from_mean","SPEI","Mean_May_Sept_SPEI_3month",-1.13400876885404,1.32158614189775,-0.000656455317108451,0.736278084176274,0.391368325910532,NA
"EN","SOS_25_difference_from_mean","SPEI","Mean_May_Sept_SPEI_3month",-1.68090782957606,2.51963435500698,-0.00238742851334783,0.44505405017397,0.505356088028894,NA
"GR","SOS_25_difference_from_mean","SPEI","Mean_May_Sept_SPEI_3month",-3.27361326932983,3.50907367677387,-0.000445897778988957,0.870301578552243,0.351647880175372,NA
"SH","SOS_25_difference_from_mean","SPEI","Mean_May_Sept_SPEI_3month",5.76342884742325,9.54047481128794,-0.00580679366027081,0.364940357675158,0.547030500929452,NA
"AG","SOS_25_difference_from_mean","SPEI","Mean_Oct_Feb_SPEI_3month",-2.2840402315482,6.30217864184752,-0.00382444437378493,0.131348791006052,0.717374835093348,NA
"DB","SOS_25_difference_from_mean","SPEI","Mean_Oct_Feb_SPEI_3month",1.07311164568627,1.14836457310545,-0.000315439746013668,0.873233209386728,0.350624131936723,NA
"EN","SOS_25_difference_from_mean","SPEI","Mean_Oct_Feb_SPEI_3month",-1.31657899236803,2.66918646949455,-0.00325823576498396,0.243296584889341,0.622301788258196,NA
"GR","SOS_25_difference_from_mean","SPEI","Mean_Oct_Feb_SPEI_3month",-6.67080442603177,3.1933700273095,0.0114271230120973,4.36373055940211,0.0375834999286952,"yes"
"SH","SOS_25_difference_from_mean","SPEI","Mean_Oct_Feb_SPEI_3month",-9.78049166598908,6.18990005380226,0.0134230920420878,2.49662952043537,0.11698786465304,NA
"AG","SOS_25_difference_from_mean","SPEI","Prev_Year_Mean_May_Sept_SPEI_3month",5.316009990369,6.3600318283766,-0.00132350690476946,0.698639278708009,0.404120228677442,NA
"DB","SOS_25_difference_from_mean","SPEI","Prev_Year_Mean_May_Sept_SPEI_3month",2.3849491749889,1.27508136419668,0.00617679585036801,3.4985046852197,0.0621525073180857,NA
"EN","SOS_25_difference_from_mean","SPEI","Prev_Year_Mean_May_Sept_SPEI_3month",0.255567969485734,2.49843894625833,-0.00426505134369282,0.01046346106464,0.918614007816956,NA
